,index,lat,long,date,time
339,3725,36.16649655,-86.77126444208471,2018-10-14,16:25
340,3472,39.743952,-105.01922281236835,2018-10-14,16:05
341,2190,42.091252600000004,-71.2644646105907,2018-10-14,20:20
342,1638,38.90768745,-76.8644868591675,2018-10-14,13:00
343,3819,25.95790315,-80.23884973967523,2018-10-14,13:00
344,2987,51.555983850000004,-0.2795789182814012,2018-10-14,13:00
345,3379,40.81350705,-74.07434417766939,2018-10-14,13:00
346,3862,33.755396250000004,-84.40081568080012,2018-10-14,13:00
347,3635,41.5060559,-81.69971184525946,2018-10-14,13:00
348,262,39.0954645,-84.5160488350198,2018-10-14,13:00
349,3378,40.81350705,-74.07434417766939,2018-10-11,20:20
350,2401,39.9009099,-75.16748915605905,2018-10-07,16:25
351,3634,41.5060559,-81.69971184525946,2018-10-07,13:00
352,1830,40.44671645,-80.01575493349428,2018-10-07,13:00
353,261,39.0954645,-84.5160488350198,2018-10-07,13:00
354,3849,41.8845767,-87.651809,2018-10-07,16:05
355,3682,37.40303995,-121.96968170505542,2018-10-07,16:25
356,790,39.04894045,-94.48300340048719,2018-10-07,13:00
357,3578,47.5953459,-122.33164431196111,2018-10-07,16:25
358,2677,35.2257363,-80.85388172071353,2018-10-07,13:00
359,3377,40.81350705,-74.07434417766939,2018-10-07,13:00
360,3756,42.7737131,-78.78690321060253,2018-10-07,13:00
361,2189,42.091252600000004,-71.2644646105907,2018-10-04,20:20
362,3471,39.743952,-105.01922281236835,2018-10-01,20:15
363,1829,40.44671645,-80.01575493349428,2018-09-30,20:20
364,3376,40.81350705,-74.07434417766939,2018-09-30,16:25
365,3107,37.751675000000006,-122.19937132239198,2018-09-30,16:05
366,586,44.500988500000005,-88.06102055468037,2018-09-30,13:00
367,1367,41.86245145,-87.61671514704074,2018-09-30,13:00
368,3848,41.8845767,-87.651809,2018-09-30,16:25
369,3871,30.3257534,-81.6449938,2018-09-30,13:00
370,2188,42.091252600000004,-71.2644646105907,2018-09-30,13:00
371,3724,36.16649655,-86.77126444208471,2018-09-30,13:00
372,3788,34.0139923,-118.28802864848308,2018-09-27,20:20
373,1983,27.97597925,-82.50421799673616,2018-09-24,20:15
374,3787,34.0139923,-118.28802864848308,2018-09-23,16:05
375,789,39.04894045,-94.48300340048719,2018-09-23,13:00
376,3577,47.5953459,-122.33164431196111,2018-09-23,16:25
377,2541,39.2779664,-76.62380930835468,2018-09-23,13:00
378,2676,35.2257363,-80.85388172071353,2018-09-23,13:00
379,2400,39.9009099,-75.16748915605905,2018-09-23,13:00
380,3818,25.95790315,-80.23884973967523,2018-09-23,13:00
381,3870,30.3257534,-81.6449938,2018-09-23,13:00
382,1637,38.90768745,-76.8644868591675,2018-09-23,13:00
383,3633,41.5060559,-81.69971184525946,2018-09-20,20:20
384,1366,41.86245145,-87.61671514704074,2018-09-17,20:15
385,3869,30.3257534,-81.6449938,2018-09-16,16:25
386,3723,36.16649655,-86.77126444208471,2018-09-16,13:00
387,3681,37.40303995,-121.96968170505542,2018-09-16,16:05
388,3470,39.743952,-105.01922281236835,2018-09-16,16:25
389,1828,40.44671645,-80.01575493349428,2018-09-16,13:00
390,1982,27.97597925,-82.50421799673616,2018-09-16,13:00
391,3375,40.81350705,-74.07434417766939,2018-09-16,13:00
